Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-07 05:38:23,47.05,99.37,46.90, , , ,
2018-05-07 05:53:23,50.06,96.26,49.06, , , ,
2018-05-07 06:08:23,51.92,92.44,49.82, , , ,
2018-05-07 06:23:23,52.77,93.78,51.05, , , ,
2018-05-07 06:38:23,52.77,94.15,51.16, , , ,
2018-05-07 06:53:23,53.69,90.11,50.89, , , ,
2018-05-07 07:08:23,54.39,88.95,51.23, , , ,
2018-05-07 07:23:23,55.32,88.65,52.05, , , ,
2018-05-07 07:38:23,56.94,93.15,55.01, , , ,
2018-05-07 07:53:23,55.78,89.97,52.91, , , ,
2018-05-07 08:08:23,56.63,90.09,53.78, , , ,
2018-05-07 08:23:23,58.33,88.73,55.05, , , ,
2018-05-07 08:38:23,57.09,87.17,53.34, , , ,
2018-05-07 08:53:23,57.25,93.15,55.31, , , ,
2018-05-07 09:08:23,57.48,88.93,54.27, , , ,
2018-05-07 09:23:23,54.93,91.95,52.66, , , ,
2018-05-07 09:38:23,54.23,94.37,52.68, , , ,
2018-05-07 09:53:23,53.31,97.94,52.77, , , ,
2018-05-07 10:08:23,53.23,98.31,52.79, , , ,
2018-05-07 10:23:23,53.85,97.57,53.20, , , ,
2018-05-07 10:38:23,54.08,95.18,52.76, , , ,
2018-05-07 10:53:23,55.55,94.59,54.05, , , ,
2018-05-07 11:08:23,55.39,95.42,54.13, , , ,
2018-05-07 11:23:23,55.01,95.37,53.73, , , ,
2018-05-07 11:38:23,54.85,94.51,53.33, , , ,
2018-05-07 11:53:23,54.54,97.27,53.81, , , ,
2018-05-07 12:08:23,56.09,93.88,54.38, , , ,
2018-05-07 12:23:23,54.85,96.10,53.79, , , ,
2018-05-07 12:38:23,54.16,98.42,53.75, , , ,
2018-05-07 12:53:23,53.77,98.02,53.25, , , ,
2018-05-07 13:08:23,53.77,99.21,53.58, , , ,
2018-05-07 13:23:23,54.08,98.87,53.80, , , ,
2018-05-07 13:38:23,53.39,98.37,52.96, , , ,
2018-05-07 13:53:23,53.39,97.97,52.85, , , ,
2018-05-07 14:08:23,53.39,98.76,53.07, , , ,
2018-05-07 14:23:23,53.39,98.71,53.06, , , ,
2018-05-07 14:38:23,53.62,98.39,53.20, , , ,
2018-05-07 14:53:23,53.93,98.79,53.62, , , ,
2018-05-07 15:08:23,53.69,97.94,53.15, , , ,
2018-05-07 15:23:23,53.69,97.54,53.04, , , ,
2018-05-07 15:38:23,53.39,99.90,53.38, , , ,
2018-05-07 15:53:23,53.31,99.98,53.33, , , ,
